id,date,province,affectedMarkets,weatherType,impactLevel,durationDays,description
WX00032,2026-05-15,湖北,WH001,干旱,轻微,6,湖北2026-05-15发生干旱天气，影响1个市场，持续6天
WX00009,2026-05-20,陕西,XA001,干旱,一般,7,陕西2026-05-20发生干旱天气，影响1个市场，持续7天
WX00054,2026-05-23,陕西,XA001,寒潮,一般,6,陕西2026-05-23发生寒潮天气，影响1个市场，持续6天
WX00003,2026-05-26,上海,SH001,暴雪,严重,3,上海2026-05-26发生暴雪天气，影响1个市场，持续3天
WX00047,2026-05-26,广东,"GZ001,SZ001",台风,一般,1,广东2026-05-26发生台风天气，影响2个市场，持续1天
WX00052,2026-05-29,广东,"GZ001,SZ001",干旱,一般,7,广东2026-05-29发生干旱天气，影响2个市场，持续7天
WX00057,2026-05-30,河南,HN001,冰雹,轻微,2,河南2026-05-30发生冰雹天气，影响1个市场，持续2天
WX00004,2026-05-31,上海,SH001,暴雪,一般,7,上海2026-05-31发生暴雪天气，影响1个市场，持续7天
WX00012,2026-06-01,湖北,WH001,台风,一般,3,湖北2026-06-01发生台风天气，影响1个市场，持续3天
WX00045,2026-06-02,湖北,WH001,大雾,较大,3,湖北2026-06-02发生大雾天气，影响1个市场，持续3天
WX00026,2026-06-04,河南,HN001,暴雪,较大,6,河南2026-06-04发生暴雪天气，影响1个市场，持续6天
WX00025,2026-06-05,北京,BJ001,台风,轻微,3,北京2026-06-05发生台风天气，影响1个市场，持续3天
WX00017,2026-06-05,河南,HN001,冰雹,一般,7,河南2026-06-05发生冰雹天气，影响1个市场，持续7天
WX00046,2026-06-06,上海,SH001,暴雪,较大,1,上海2026-06-06发生暴雪天气，影响1个市场，持续1天
WX00021,2026-06-07,河南,HN001,干旱,严重,1,河南2026-06-07发生干旱天气，影响1个市场，持续1天
WX00031,2026-06-07,陕西,XA001,暴雨,较大,1,陕西2026-06-07发生暴雨天气，影响1个市场，持续1天
WX00014,2026-06-10,四川,CD001,暴雪,轻微,6,四川2026-06-10发生暴雪天气，影响1个市场，持续6天
WX00000,2026-06-11,广东,"GZ001,SZ001",大雾,轻微,3,广东2026-06-11发生大雾天气，影响2个市场，持续3天
WX00001,2026-06-12,上海,SH001,寒潮,严重,3,上海2026-06-12发生寒潮天气，影响1个市场，持续3天
WX00029,2026-06-12,四川,CD001,寒潮,一般,6,四川2026-06-12发生寒潮天气，影响1个市场，持续6天
WX00010,2026-06-13,上海,SH001,高温,轻微,2,上海2026-06-13发生高温天气，影响1个市场，持续2天
WX00005,2026-06-14,河南,HN001,暴雪,一般,6,河南2026-06-14发生暴雪天气，影响1个市场，持续6天
WX00041,2026-06-14,河南,HN001,大雾,一般,5,河南2026-06-14发生大雾天气，影响1个市场，持续5天
WX00022,2026-06-16,四川,CD001,高温,轻微,4,四川2026-06-16发生高温天气，影响1个市场，持续4天
WX00023,2026-06-18,北京,BJ001,寒潮,严重,2,北京2026-06-18发生寒潮天气，影响1个市场，持续2天
